LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
RTUITO, Peach Hospital,50+,Woman or female,Good,PLEASANT STAFF. BEAUTIFUL CLEAN BED LINEN EVERY DAY,STAFF NOISY & TALKATIVE DURING THE NIGHT
QTYEWR, Honeydew Melon Hospital,50+,Man or male,Good,I WAS GIVEN A LUMPER ANAESTHETIC AND WAS ABLE TO SEE WHAT THE SURGEON WAS DOING - A CLEANING OF THE PROSTATE USING A HOT WIRE. THE SURGEON EXPLAINED TO ME WHAT HE/SHE WAS DOING AND THE ANAESTHETIS ANSWERED MY QUESTION. THIS WAS THE BEST 'ENCOATE' WITH A SPECIALIST THAT I CAN REMEMBER. THE SURGEON'S NAME I AM NOT AWARE OF BUT HE/SHE WAS XXXX.,"WHEN ARRIVING THERE WAS A LONG PERIOD WAITING TO BE ADMITTED. I WENT TO XXXX, RETURNED TO XXXX THEN BACK TO XXXX AND AGAIN TO XXXX AND RETURNED TO XXXX. I WOULD RATE XXXX SIMILARLY TO XXXX EXCEPT THERE WAS A VERY LONG TIME TO GET ADMITTED. I COULD NOT SLEEP THE FINAL TIME I WENT TO XXXX AS LIGHTS WERE ON ALL NIGHT."
OPIUSD, Watermelon Hospital,50+,Woman or female,Very poor,TRANSFERRING TO LOCAL PRIVATE HOSPITAL MID AFTERNOON DAY FOUR. YOUNG XXXX WHO LOOKED AFTER ME FROM MIDDAY OF SECOND DAY WAS EXCEPTIONAL A COUPLE OF NURSES ON THE WARD,"ED CARE WAS UNCARING & SLOW. ATTITUDES, STRESS & CONCERN CONCERN & ATTENTION OF STAFF TO PATIENTS & FAMILY. ON MY LAST NIGHT A MAN/WOMAN IN ADJOINING WARD RAN THROUGH HALLS YELLING & SCREAMING & FOR XXXX HRS (XXXX) VERY FRIGHTENING - AT NO STAGE DURING THE NIGHT OR NEXT DAY WERE PATIENTS BE INFORMED OR SPOKEN TO. I STILL GET VERY STRESED ABOUT INCIDENT"
VASRTY, Cantaloupe Hospital,50+,Woman or female,Very good,INFORMATION,NOTHING
MZNBSD, Starfruit Hospital,50+,Man or male,Good,,THE FOOD WAS NOT FIT FOR HUMANS
VASRTY, Passionfruit Hospital,50+,Man or male,Very good,THEY TOLD ME I WOULD ONLY STAY OVERNIGHT AND THAT PROMISE WAS KEPT,I DON'T HAVE ANY SUGGESTIONS TO GIVE FOR THIS WAS A SHORT STAY
CVBHMI, Dragonfruit Hospital,50+,Woman or female,Good,THE SURGEONS WERE AMAZING I WAS LUCKY THAT EVEN THOUGH THEATRES WERE STILL CLOSED FOR HOLIDAYS & COVID 19 I HAD 2 OF THE TOP SURGEONS IN MY FIELD AS MY PROFESSIONAL TEAM,"ATTENTION TO DETAILS LIKE ALLERGIES, AS I HAVE SEVERE ALLERGY TO LATEX AND IF I HADN'T MENTIONED IT MYSELF WOULD HAVE HAD A NON LATEX FREE THEATRE & A DEFINITE ANAPHYLACTIC REACTION COMPLICATING EVEN FURTHER MY CONDITION, ALSO HYGIENE WHEN IT COMES TO SURGICAL PATIENT HAVING TO SHARE BATHROOMS WITH PATIENTS WHO HAVE THRUSH AND MEASURES IN PLACE TO AVOID CROSS INFECTION IE BATHROOMS"
OPIUSD, Watermelon Hospital,50+,Man or male,Good,I SUFFERED FROM BADLY XXXX XXXX XXXX AND AS IT WAS OVER XXXX AND XXXX XXXX XXXX AND XXXX HOSPITAL DO NOT HAVE NEUROSURGEONS ON CALL IT WAS NECESSAY FOR MY XXXX TO CONTACT A NEUROSURGEON AT XXXX. XXXX XXXX HOSPITAL WHO AFTER LOOKING AT THE MRI HAD ME TRANSFERRD TO HIS/HER HOSPITAL,THE VMO SHOULD HAVE ARRANGED FOR ME TO BE TRANSFERRED TO XXXX. XXXX XXXX FOR SPECIALIST ASSESSMENT
ARTBQW, Jackfruit Hospital,50+,Woman or female,Very good,,I ATTENDED EMERGENCY AT XXXX AND WAS NOT TRANFERRED TO A WARD UNTIL LATE AFTERNOON. I WAS ADVISED I HAD PANCRAETITIS. EMERGENCY WAS VERY BUSY THAT DAY BUT I WAITED IN WAITING ROOM FOR MOST OF THAT TIME THIS AREA NEEDS IMPROVEMENT
OPIUSD, Blueberries Hospital,50+,Woman or female,Neither good nor poor,XXXX EMERGENCY THE BEST TREATMENT THAN XXXX WEEKS IN THE WARD MOST OF THE NURSES VERY GOOD  CARDIOLOGIST EXELLENT,"GASTRO DEPARTMENT BAD   .  FEW NURSES NOT FOLLOWING THE RIGHT HYGIENIC RULES   KITCHEN CAN NOT BE WORSE IN XXXX HISTRORY ..NOT ONLY THE FOOD BUT ALSO EVERY SINGLE DAY MISTAKES LIKE NOT ALLOWED TO DRINK MILK THEY GIVE YOU MILK . ONLY CLEAR SOUP !!  THEY BRING YOU VEGETABLE SOUP TERRIBLE . ALSO A LOT OF EQUIPMENT OUT OF ORDER OR BROKEN LIKE  BLOOD PRESURE MACHINE , THERMOMETER, NURSES RUNNING AROUND TO FIND THE WORKING ONES CHAIRS WHEELCHAIRS BAD CONDITION   MY OPINION THE NIGHT SHIFT NURSES WHEN THEY ARE NOT BUSY TO DO SOME PREPERATIONS FOR THE MORNING NURSES. MORNING IS SO BUSY AND THEY DO NOT HAVE MUCH TIME MEDICINE DOCTORS AND HELP THEM TO WASH OR WASH !!"
OIUWEY, Persimmon Hospital,50+,Man or male,Very good,CARING NURSES,NO IMPROVEMENT NECESSARY
KHZJDF, Currant Hospital,50+,Man or male,Very good,NURSES CARE WAS OUTSTANDING,
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,GIVEN ASSISTANCE QUICKLY AND  TEST ECG ETC.TO ESTABLISH PROBLEM.,CHECKING OUT
BNAVSE, Plum Hospital,50+,Woman or female,Good,*THE NURSES ATTENTIVENESS,"THE FOOD ***, THE CHANGING OF SHEETS, AND PILLOWCASES DAILY"
QTYEWR, Honeydew Melon Hospital,18-49,Woman or female,Very good,"THE NEW FACILITIES//HOSPITAL IS FANTASTIC. WHILST I WAS STAYING IN MEDICAL WARD, THE NURSES ARRANGED A MIDWIFE TO COME SEE ME TO HELP WITH MASTITIS FEEDING ADVICE AND HE/SHE CARED SO MUCH ABOUT MY RECOVERY AND CARE HE/SHE ARRANGED IMMEDIATELY FOR ME TO BE MOVED TO MATERNITY WHERE I WAS PROVIDED WITH FANTASTIC SPECIALISED CARE & ATTENTION. THE DR I SAW IN ED WAS ALSO AMAZING!",XXXX ONE OF THE NURSES IN ED WAS VERY RUDE. DISMISSIVE AND SHOWED VERY LITTLE EMPATHY WHEN TRIAGING ME AND LATER WHILST I WAS IN ED. HIS/HER ATTITUDE WAS EXTREMELY OFF PUTTING AND THE LEVEL OF EFFORT HE/SHE SHOWED TOWARDS PATIENT CARE WAS VERY POOR.
KHZJDF, Lychee Hospital,50+,Man or male,Very good,EVERYTHING ABOUT MY CARE IN HOSPITAL WAS EXCELLENT,MENU
EWRTY, Kumquat Hospital,50+,Woman or female,Very good,THE NURSES WERE ATTENTIVE & HELPFUL. LOTS OF TESTS WERE PERFORMED,I WAS SENT HOME WITHOUT SEEING THE SOCIAL WORKER WHICH CREATED DIFFICULTIES IN ORGANISING HELP TO CARE FOR MY LEGS WHICH NEEDED TO BE TREATED. I HAD PRIVATE HEALTH INSURANCE BUT ONLY HAD PRIVATE ROOM FOR ONE NIGHT.
VASRTY, Fig Hospital,50+,Man or male,Very good,THE CARE OF THE STAFF,
MZNBSD, Grapefruit Hospital,50+,Woman or female,Good,NURSING STAFF WHERE EXCELLENT VERY CARING OST OF THE RESTE OF THE STAFF WERE HELPFUL,EXPLAIN ILLNESS & CARE BETTER AS WE CAN UNDERSTAND
QTYEWR, Quince Hospital,18-49,Woman or female,Poor,DR XXXX WAS ABSOLUTELY AMAZING MY TRAINEE NURSE WAS VERY COMPASSIONATE,ATTITUDE FROM SOME NURSES. MAKING SURE PATIENTS GET FOOD OR EVEN A GLASS OF WATER. I WAS IN HOSPITAL FROM XXXX AM THE XXXX TILL THE XXXX LUNCH TIME AND NEVER GOT OFFERED FOOD OR A NICE COLD DRINK OF WATER
OIUWEY, Avocado Hospital,50+,Man or male,Very good,NURSES,"I WAS MISDIAGNOSED WITH PNEUMONIA, XXXX XXXX LATER THE NURSE CHECKED MY RIGHT LEG WHICH WAS VERY RED & SORE. DISCOVERED I HAD BEEN INFECTED BY SEA-LICE THEY CHANGED MY ANTIBIOTIC AND WAS SENT HOME XXXX XXXX LATER CURED"
KHZJDF, Date Hospital,50+,Man or male,Very good,MEDICAL STAFF UNDERSTOOD I WAS VERY SICK AND THEY RESPONDED ACCORDINGLY,MORE CHOICES OF FRUIT ON MENU
KHZJDF, Lychee Hospital,18-49,Woman or female,Very good,"THE NURSING STAFF WERE LOVELY, ALWAYS HELPED AND I NEVER FELT LIKE A BOTHER TO THEM. MAJORITY OF THE DRS I WAS TREATED BY WERE FANTASTIC AND VERY INFORMATIVE ABOUT WHAT WAS HAPPENING AND VERY CARING TOWARDS MY SITUATION.","ONE OF THE DRS (DR XXXX) WHO WAS ON DUTY IN THE XXXX DID NOT EVEN SPEAK TO ME DURING MY TIME THERE. I WAS IN ALOT OF PAIN AND WAS ONLY RELAYING INFORMATION TO THE NURSES, RATHER THEN THE DR. HE/SHE WOULD PUT HIS HAND BEHIND THE CLOSED CURTAIN TO GET MY PAPERWORK, AND NOT EVEN SPEAK TO ME. ALL OF THE OTHER DRS I SEEN WERE GREAT AND SPENT TIME SITTING AND TALKING WITH ME ABOUT MY SITUATION, WHICH IS WHY I NOTICED HE/SHE WAS DIFFERENT."
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,THE MEDICAL NEEDS WERE MET WELL,THE NURSES WERE VERY UNDERSTAFF AND THERE WASN'T ENOUGH TIME TO TALK WITH THEM IN DEPTH ABOUT MY CARE
QWRET, Olive Hospital,50+,Man or male,Good,THE NURSING STAFF'S CHEERFULLNESS AND ASSISTANCE DURING MY PERIOD OF STAY,
MZNBSD, Blackberries Hospital,50+,Man or male,Very good,CONTINOUS HEALTH CHECK BED AND BATH ROOMS DAILY SERVICED. HEALTH MONITORING.,
QESRRT, Cactus fruit Hospital,50+,Man or male,Very good,FROM THE TIME OF MY ADMISSION TO THE TIME OF MY DISCHARGE I WAS INCATED WITH MY CARE AND TREATMENT ON ACC STAGES FROM MANAGEMENT NURSES & STAFF WAS FIRST CLASS,NOTHING AT ALL
QERYUI, Durian Hospital,50+,Woman or female,Very good,LOVELY STAFF.,ALL GOOD
OPIUSD, Ugli fruit Hospital,50+,Man or male,Very good,ALL GOOD,('NO' 3AM TABLETS. NEEDED 'SLEEP')
QTYEWR, Rambutan Hospital,18-49,Woman or female,Good,SURGEONS. NURSES. STAFF,FELT PUSHED OUT IN THE MORNING & WAS STILL QUITE SORE.
OIUWEY, Longan Hospital,50+,Woman or female,Very good,STAFF WERE THERE TO HELP WHEN I COULDN'T GET OUT OF BED TO USE BATHROOM.,DOCTORS NEED TO DO FOCUS LESS ON PATIENTS LIFESTYLE CHOICES AND MORE ON COMPLETING ENTIRE PROCEDURES - NOT LEAVING JOB ALMOST DONE! ALSO NEED TO BE MORE CONCERNED ABOUT PATIENT FOLLOW UP - NOT JUST SINGLE APPOINTMENT XXXX DAYS AFTER SURGERY TO CHECK SUTURES.
OPIUSD, Feijoa Hospital,50+,Woman or female,Very good,,FOOD IS A MAJOR PROBLEM. PREPARED FOOD IS OFTEN COLD
OIUWEY, Persimmon Hospital,50+,Man or male,Very good,BEING RESPECTED AS A PERSON,KEEP UP THE GOOD WORK
KHZJDF, Currant Hospital,50+,Woman or female,Good,,HOSPITALISED FOR XXXX HOURS PERIOD. REGULER MEDICATIONS WERE NOT CHARTED OR GIVEN
KHZJDF, Kumquat Hospital,50+,Woman or female,Very good,NURSES WENT BEYOND THEIR JOB REQUIREMENT NOT ONLY FOR MYSELF BUT OTHERS ALSO,MORE EXPLANATION ON WHAT TRANSPIRED IN SURGERY AND EXPECTANCY FOR FUTURE FROM THE SURGERY
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,"AFTER MY CATARACT PROCEDURE MY HEART RATE DROPPED VERY LOW AND AFTER SPEAKING TO A SPECIALIST IT WAS ARRANGED FOR ME TO BE FLOWN TO XXXX HOSPITAL THE NEXT DAY, WHERE I RECEIVED A PACEMAKER. IT WAS EXCEPTIONAL TREATMENT FROM DOCTORS AND NURSES",NOT APPLICABLE
MZNBSD, Gooseberry Hospital,50+,Woman or female,Neither good nor poor,,OUR HOSPITAL NEEDS MORE NURSING STAFF TO GIVE ADEQUATE CARE TO PATIENTS
QTYEWR, Honeydew Melon Hospital,50+,Man or male,Very good,NEW HOSPITAL AND GREAT CARE,THE FOOD MAYBE
ARTBQW, Currant Hospital,50+,Man or male,Very good,"THE CARE OF THE STAFF , PROVIDING EXCELLENT COMMUNICATION AND PROFESSIONAL MEDICAL TREATMENT WITH GOOD HUMOUR AND COMPASSION.","THE STAFF APPEAR TO BE JUST COPING WITH REQUIREMENTS OF THEIR PATIENTS FOR MUCH OF THE TIME. BEING ADMITTED ON XXXX MAY HAVE HAD SOME IMPACT ON THE NUMBER OF PATIENTS PRESENTING, BUT I GOT THE DISTINCT IMPRESSION THAT THE WORKLOAD FREQUENTLY EXCEEDED THE CAPACITY OF THE STAFF ON HAND."
QERYUI, Tangerine Hospital,50+,Man or male,Very good,EVERYTHING WAS VERY GOOD,"NO INTERPRETER WAS PROVIDED, EVEN WHEN MY XXXX TOLD THEM THAT MY ENGLISH WAS NOT GOOD. MY XXXX COULDN'T BE PRESENT WHEN DOCTORS CAME TO TALK TO ME AS VISIT WERE NOT PERMITTED UNTIL XXXX NO ONE CALLED XXXX EVEN WHEN HE/SHE ASKED TO BE CONTACTED FOR AN UPDATE OF MY CONDITION UNTIL THE DAY THAT I WAS DISCHARGED"
OIUWEY, Tomato Hospital,50+,Woman or female,Very good,"THROUGHOUT MY TREATMENT I HAD THE FEELING THAT I'M IN GOOD HANDS. STARTING FROM FRONT DESK, NURSES, ASSISTANTS AND THE PROFESSIONAL DOCTOR WHO LOOKED AFTER ME.","HONESTLY, THE KIND OF TREATMENT I HAD YOU DON'T SEE THESE DAYS. XXXX HOSPITAL CAN BE TAKEN AS A LEADING EXAMPLE TO TEACH OTHER HOSPITALS HOW PERFECT MEDICAL CARE SHOULD BE."
QESRRT, Cucumber Hospital,50+,Man or male,Good,VERY GOOD,NONE
OPIUSD, Eggplant Hospital,18-49,Woman or female,Good,"NICE, FRIENDLY STAFF, QUICK PAIN MANAGEMENT","DURING MY STAY I HAD FEW DIFFERENT DOCTORS VISITING ME, SO THERE WAS NO ONE PERSON TO GO TO ABOUT THE CARE AND CONDITION. THE DISCHARGE TOOK HOURS, THOUGH THE DECISION WAS MADE IN EARLY MORNING"
MZNBSD, Squash Hospital,50+,Woman or female,Very good,ALL CARE WAS EXCELLENT. REHAB XXXX EXCELLENT,
QESRRT, Cucumber Hospital,50+,Man or male,Very good,"DOCTOR ALL OF THEM SO GOOD BECAUSE MY XXXX WAS VERY SICK AND THEY DONE EVERYTHING TO HELP, AND GET BETTER. THANK YOU ALL THE DR IN XXXX HOSPITAL. THANK YOU XXXX AND XXXX",
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Very good,APPARENTLY I WAS INFECTED WITH A TERRIBLE BACTERIA IN MY INTESTINES - SO WAS NOT CONSCIOUS OF MY ACTIONS UNCONTROLLABLE. WHEN ONCE AWARE OF MY BEING ISOLATED IN A WARD MY CARE WAS MAGNIFICENT - FROM ALL THE MEDICAL STAFF & THE DOMESTICS - GREAT ATTENTION,"BEING AN XXXX NURSE I STILL CANNOT UNDERSTAND THE DISPOSAL OF ALL EQUIPMENT - SUCH A COST OF THE HOSPITAL - WHAT HAS HAPPENED TO AUTOCLAUS, STERILISING EQUIPMENT. OTHERWISE THERE IS NO NEED FOR ANY IMPROVEMENT IN THE CARE RECEIVED FROM MDA"
